1104	25	283
1104	25	145
1104	25	146
1104	25	20
1104	25	275
1104	25	186
1104	25	292
1236	41	539
1236	34	4
1236	34	264
1236	34	539
1236	21	539
1236	21	4
1236	21	216
1236	34	216
725	9	223
725	9	354
725	9	341
725	9	92
725	9	324
725	9	363
725	9	356
725	9	190
725	9	77
725	9	163
725	9	347
725	9	251
725	9	368
725	9	166
725	9	214
725	9	321
725	9	565
725	9	108
725	9	492
725	9	398
725	9	408
725	9	14
725	9	348
725	9	322
725	9	401
725	9	489
725	9	45
725	9	168
725	9	429
725	9	118
725	9	462
725	9	211
725	9	488
725	9	152
725	9	539
725	9	87
725	9	93
725	9	260
725	9	454
725	9	245
725	9	328
725	9	567
725	9	64
725	9	325
725	9	23
725	9	248
725	9	380
725	9	22
725	9	327
725	9	78
725	9	568
725	9	421
725	9	62
725	9	116
725	9	413
725	9	15
725	9	189
725	9	167
725	9	227
725	9	158
725	9	269
725	9	545
725	9	141
725	9	490
725	9	495
725	9	255
325	63	834
325	7	904
325	47	1069
325	7	619
325	24	776
325	0	583
325	30	795
325	24	706
325	30	1035
325	30	819
325	48	973
325	24	978
325	30	623
325	63	968
325	24	783
325	0	1069
325	30	720
325	43	803
325	63	973
325	19	993
325	38	628
325	49	1127
325	63	1269
325	7	1047
325	3	725
325	30	1308
325	52	885
325	51	879
325	24	1181
325	30	780
325	7	983
325	30	1015
325	30	1136
325	30	1319
325	30	857
325	24	785
325	30	983
325	35	1069
325	24	1030
325	63	933
325	7	1168
325	24	663
325	30	749
325	24	901
325	20	662
325	30	1305
325	30	1350
325	24	945
325	30	1298
325	37	1166
325	30	669
325	63	684
325	30	585
325	30	625
325	19	605
325	24	824
325	30	839
325	15	834
325	15	968
325	15	973
325	15	1269
325	15	933
325	15	684
548	47	1207
548	22	999
548	63	834
548	63	1182
548	45	1344
548	45	761
548	45	667
548	20	1207
548	45	1297
548	63	1184
548	45	1266
548	37	648
548	30	648
548	45	610
548	48	1184
548	30	789
548	63	968
548	45	1181
548	7	1200
548	30	702
548	63	1269
548	57	843
548	30	977
548	63	684
548	43	806
548	30	1015
548	7	1085
548	7	1027
548	45	1101
548	63	933
548	30	1331
548	30	796
548	19	702
548	7	1044
548	19	955
548	63	973
548	63	1285
548	30	597
548	19	597
548	15	834
548	15	1182
548	15	1184
548	15	968
548	15	1269
548	15	684
548	15	933
548	15	973
548	15	1285
181	63	1269
181	19	1234
181	30	907
181	19	1060
181	30	1323
181	45	1266
181	51	707
181	63	933
181	7	1200
181	63	641
181	37	953
181	19	1183
181	30	847
181	63	684
181	7	1168
181	63	1182
181	63	968
181	48	973
181	43	803
181	7	1085
181	30	844
181	45	1101
181	30	770
181	63	834
181	30	873
181	45	1297
181	30	1291
181	7	1027
181	30	1027
181	63	973
181	19	605
181	30	1351
181	30	1085
181	3	772
181	30	1110
181	37	952
181	19	993
181	15	1269
181	15	933
181	15	641
