epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.23579420149326324	0.04974189028143883	0.24184013273788435	0.21342283487319946	0.09019897878170013	0.2290363640006321
20.0	0.21879194676876068	0.04891517013311386	0.22778782791892715	0.2031320035457611	0.08584633469581604	0.219890597414975
30.0	0.2143176943063736	0.0488516204059124	0.21922721238780127	0.19888143241405487	0.08650072664022446	0.21242920309009675
40.0	0.21208056807518005	0.04491516575217247	0.21813724662540854	0.1964205950498581	0.08346475660800934	0.20980638065074045
50.0	0.2129753977060318	0.04800042137503624	0.21731961341328151	0.19865772128105164	0.08587436378002167	0.21144508985142663
60.0	0.20805370807647705	0.043870143592357635	0.21643181667469882	0.19015659391880035	0.07842191308736801	0.2053447911218009
70.0	0.1964205950498581	0.04409760236740112	0.20692467853743038	0.18769575655460358	0.08112040907144547	0.20162651068380885
80.0	0.20939598977565765	0.044829316437244415	0.2106432577995719	0.18881434202194214	0.08205139636993408	0.20022312717932617
90.0	0.20626400411128998	0.04638117924332619	0.20912203925755918	0.18993288278579712	0.08311067521572113	0.20206059248816527
100.0	0.19463090598583221	0.04351930320262909	0.19556938931151643	0.18545863032341003	0.0781908854842186	0.19362738500726379
110.0	0.20268458127975464	0.04446086660027504	0.20038322632954497	0.19217002391815186	0.08305046707391739	0.19873517740085683
